,epsilon,min_samples,sc,db,ch
56,0.017,2,-0.26442901557166276,1.7606498976497797,269.4445057230499
57,0.018000000000000002,2,-0.37822206895083166,1.7898828169068028,132.78079210387833
58,0.019000000000000003,2,-0.38114304827741213,1.6933425492345777,142.79119799324428
59,0.02,2,-0.5282399556474731,1.994509807632168,38.55818531469599
60,0.001,3,-0.3456486240252286,1.4350230803094022,2.909215127834557
61,0.002,3,-0.7297573563951091,1.1085516138776228,4.140443260244743
62,0.003,3,-0.7566697055967753,0.9862477172825602,4.8816293151508345
63,0.004,3,-0.6798899550128246,0.9508458416490299,5.791074669228718
64,0.005,3,-0.5337510719681738,1.0075603090530438,7.3989272239449
65,0.006,3,-0.3960132280525058,1.0300820935097144,9.215272337734307
66,0.007,3,-0.2748005443024683,1.118039297806899,13.17725484970977
67,0.008,3,-0.17691863112778233,1.131627321699062,19.85531470691174
68,0.009000000000000001,3,-0.10211293177796837,1.1642650354354473,31.523558333249376
69,0.010000000000000002,3,-0.052770988468669754,1.352181686498915,46.31945428644754
70,0.011,3,-0.06953351131441096,1.4902738653130896,70.52073623566474
71,0.012,3,-0.05826395260873612,1.3868901427033105,110.28612496256554
72,0.013000000000000001,3,-0.05978546337614818,1.401515162905833,164.7570813899079
73,0.014000000000000002,3,-0.08266101469270455,1.4688034169802042,257.54347967218814
74,0.015,3,-0.10156212258549657,1.5294789102370523,358.57496908226693
75,0.016,3,-0.1409335612455049,1.41167544032563,407.17257096889654
76,0.017,3,-0.20342082245079968,1.7507434828760078,384.0773057328173
77,0.018000000000000002,3,-0.30553919776927047,1.7812408925805936,199.06306164938118
78,0.019000000000000003,3,-0.3609831007071991,1.7901940028590138,208.14823814300954
79,0.02,3,-0.502582010653523,2.069160456460646,52.479152031232495
80,0.001,4,,,
81,0.002,4,-0.5002822361221696,1.3271859021865449,3.6421743946823084
82,0.003,4,-0.6826367445244044,1.0178710161532023,6.009098857541932
83,0.004,4,-0.7244156481295128,0.9775464720090408,7.449029704038491
84,0.005,4,-0.6767616080274385,0.881556062490021,9.107902525945475
85,0.006,4,-0.5828444559048943,0.9179494171818111,10.793397479258642
86,0.007,4,-0.4680498153315162,0.9748015404842738,13.657520048286683
87,0.008,4,-0.3490748724282277,1.0077793410058766,19.34512417178325
88,0.009000000000000001,4,-0.2535847577061326,1.0623148088273493,29.485918212510708
89,0.010000000000000002,4,-0.18784337160640655,1.1005138909135062,39.90429273787463
90,0.011,4,-0.15332400095939872,1.1210436193406443,59.5229487919027
91,0.012,4,-0.14486441441050746,1.4105097051925575,83.35442306887848
92,0.013000000000000001,4,-0.10506240900167096,1.4497284363277014,129.42657405746073
